artist_name,title,format,award_month,award_day,award_year,award_type,type
fun. ,Some Nights,Single,February,27,2019,7x Platinum,Digital
fun. ,Some Nights,Single,June,27,2016,6x Platinum,Digital
fun. ,Some Nights,Single,June,27,2016,5x Platinum,Digital
fun. ,Some Nights,Single,March,27,2013,4x Platinum,Digital
fun. ,Some Nights,Single,March,27,2013,3x Platinum,Digital
fun. ,Some Nights,Single,March,27,2013,2x Platinum,Digital
fun. ,Some Nights,Single,August,31,2012,Platinum,Digital
fun. ,Some Nights,Single,August,31,2012,Gold,Digital
fun. ,Some Nights,Album,June,16,2016,3x Platinum,Standard
fun. ,Some Nights,Album,June,16,2016,2x Platinum,Standard
fun. ,Some Nights,Album,January,17,2013,Platinum,Standard
fun. ,Some Nights,Album,September,12,2012,Gold,Standard
fun. ,Carry On,Single,October,24,2013,2x Platinum,Digital
fun. ,Carry On,Single,April,16,2013,Platinum,Digital
fun. ,Carry On,Single,April,16,2013,Gold,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,October,14,2022,Diamond,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,November,19,2015,6x Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,November,19,2015,5x Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,November,14,2013,4x Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,November,14,2013,3x Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,November,14,2013,2x Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,May,1,2013,Platinum,Digital
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),Single,May,1,2013,Gold,Digital
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),Single,September,29,2022,4x Platinum,Digital
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),Single,November,19,2015,3x Platinum,Digital
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),Single,November,14,2013,2x Platinum,Digital
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),Single,November,14,2013,Platinum,Digital
Macklemore & Ryan Lewis,Same Love (feat. Mary Lambert),Single,November,14,2013,Gold,Digital
Macklemore & Ryan Lewis,"White Walls (feat. ScHoolboy Q, Hollis)",Single,September,29,2022,3x Platinum,Digital
Macklemore & Ryan Lewis,"White Walls (feat. ScHoolboy Q, Hollis)",Single,November,20,2015,2x Platinum,Digital
Macklemore & Ryan Lewis,"White Walls (feat. ScHoolboy Q, Hollis)",Single,November,20,2015,Platinum,Digital
Macklemore & Ryan Lewis,"White Walls (feat. ScHoolboy Q, Hollis)",Single,November,20,2015,Gold,Digital
Macklemore & Ryan Lewis,Wing$,Single,September,29,2022,Platinum,Digital
Macklemore & Ryan Lewis,Wing$,Single,November,19,2015,Gold,Digital
Macklemore & Ryan Lewis,The Heist,Album,September,29,2022,5x Platinum,Standard
Macklemore & Ryan Lewis,The Heist,Album,November,14,2013,Platinum,Standard
Macklemore & Ryan Lewis,The Heist,Album,May,3,2013,Gold,Standard
Macklemore & Ryan Lewis,"Downtown (feat. Eric Nally, Melle Mel, Kool Moe Dee, Grandmaster Caz)",Single,February,19,2016,Platinum,Digital
Macklemore & Ryan Lewis,"Downtown (feat. Eric Nally, Melle Mel, Kool Moe Dee, Grandmaster Caz)",Single,November,19,2015,Gold,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,November,19,2015,Diamond,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,November,19,2015,9x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,November,19,2015,8x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,November,14,2013,7x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,November,14,2013,6x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,5x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,4x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,3x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,2x Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,Platinum,Digital
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),Single,May,1,2013,Gold,Digital
Sam Smith,Unholy (feat. Kim Petras),Single,February,27,2023,2x Platinum,Digital
Sam Smith,Unholy (feat. Kim Petras),Single,November,14,2022,Platinum,Digital
Sam Smith,Unholy (feat. Kim Petras),Single,November,14,2022,Gold,Digital
Sam Smith,Love Goes,Album,April,8,2022,Platinum,Standard
Sam Smith,Love Goes,Album,April,8,2022,Gold,Standard
Sam Smith,Fire On Fire ,Single,April,8,2022,Platinum,Digital
Sam Smith,Fire On Fire ,Single,February,11,2020,Gold,Digital
Sam Smith,The Thrill Of It All,Album,April,8,2022,2x Platinum,Standard
Sam Smith,The Thrill Of It All,Album,November,12,2020,Platinum,Standard
Sam Smith,The Thrill Of It All,Album,November,12,2020,Gold,Standard
Sam Smith,How Will I Know,Single,April,8,2022,Gold,Digital
Sam Smith,Burning,Single,April,8,2022,Gold,Digital
Sam Smith,Diamonds,Single,April,8,2022,Platinum,Digital
Sam Smith,Diamonds,Single,April,26,2021,Gold,Digital
Sam Smith,Make It To Me,Single,April,8,2022,Platinum,Digital
Sam Smith,Make It To Me,Single,August,7,2018,Gold,Digital
Sam Smith,Not In That Way ,Single,April,8,2022,Platinum,Digital
Sam Smith,Not In That Way ,Single,February,8,2016,Gold,Digital
Sam Smith,I’m Ready (feat. Demi Lovato),Single,April,26,2021,Gold,Digital
Sam Smith,Dancing With A Stranger,Single,April,26,2021,4x Platinum,Digital
Sam Smith,Dancing With A Stranger,Single,February,11,2020,3x Platinum,Digital
Sam Smith,Dancing With A Stranger,Single,August,5,2019,2x Platinum,Digital
Sam Smith,Dancing With A Stranger,Single,August,5,2019,Platinum,Digital
Sam Smith,Dancing With A Stranger,Single,August,5,2019,Gold,Digital
Sam Smith,Lay Me Down,Single,November,12,2020,5x Platinum,Digital
Sam Smith,Lay Me Down,Single,October,15,2018,4x Platinum,Digital
Sam Smith,Lay Me Down,Single,August,7,2018,3x Platinum,Digital
Sam Smith,Lay Me Down,Single,July,27,2015,2x Platinum,Digital
Sam Smith,Lay Me Down,Single,May,20,2015,Platinum,Digital
Sam Smith,Lay Me Down,Single,May,20,2015,Gold,Digital
Sam Smith,One Last Song,Single,November,12,2020,Gold,Digital
Sam Smith,Leave Your Lover,Single,November,12,2020,Platinum,Digital
Sam Smith,Leave Your Lover,Single,May,20,2015,Gold,Digital
Sam Smith,To Die For,Single,November,12,2020,Gold,Digital
Sam Smith,Writing’s On The Wall,Single,November,12,2020,Platinum,Digital
Sam Smith,Writing’s On The Wall,Single,July,11,2016,Gold,Digital
Sam Smith,In The Lonely Hour,Album,November,12,2020,5x Platinum,Standard
Sam Smith,In The Lonely Hour,Album,May,20,2015,2x Platinum,Standard
Sam Smith,In The Lonely Hour,Album,November,25,2014,Platinum,Standard
Sam Smith,In The Lonely Hour,Album,November,25,2014,Gold,Standard
Sam Smith,How Do You Sleep?,Single,November,12,2020,2x Platinum,Digital
Sam Smith,How Do You Sleep?,Single,February,11,2020,Platinum,Digital
Sam Smith,How Do You Sleep?,Single,October,29,2019,Gold,Digital
Sam Smith,Too Good At Goodbyes,Single,November,12,2020,6x Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,February,11,2020,5x Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,August,7,2018,4x Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,August,7,2018,3x Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,August,7,2018,2x Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,November,3,2017,Platinum,Digital
Sam Smith,Too Good At Goodbyes,Single,November,3,2017,Gold,Digital
Sam Smith,Stay With Me,Single,November,12,2020,Diamond,Digital
Sam Smith,Stay With Me,Single,February,11,2020,9x Platinum,Digital
Sam Smith,Stay With Me,Single,August,7,2018,8x Platinum,Digital
Sam Smith,Stay With Me,Single,December,8,2015,7x Platinum,Digital
Sam Smith,Stay With Me,Single,May,20,2015,6x Platinum,Digital
Sam Smith,Stay With Me,Single,April,13,2015,5x Platinum,Digital
Sam Smith,Stay With Me,Single,November,25,2014,4x Platinum,Digital
Sam Smith,Stay With Me,Single,November,25,2014,3x Platinum,Digital
Sam Smith,Stay With Me,Single,November,25,2014,2x Platinum,Digital
Sam Smith,Stay With Me,Single,November,25,2014,Platinum,Digital
Sam Smith,Stay With Me,Single,November,25,2014,Gold,Digital
Sam Smith,I'm Not The Only One,Single,November,12,2020,7x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,August,5,2019,6x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,May,16,2017,5x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,July,27,2015,4x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,April,10,2015,3x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,April,10,2015,2x Platinum,Digital
Sam Smith,I'm Not The Only One,Single,November,25,2014,Platinum,Digital
Sam Smith,I'm Not The Only One,Single,November,25,2014,Gold,Digital
Sam Smith,I’ve Told You Now,Single,February,11,2020,Gold,Digital
Sam Smith,Palace,Single,February,11,2020,Gold,Digital
Sam Smith,Have Yourself A Merry Little Christmas ,Single,February,11,2020,Gold,Digital
Sam Smith,Promises,Single,September,3,2019,Platinum,Digital
Sam Smith,Promises,Single,November,27,2018,Gold,Digital
Sam Smith,Pray,Single,August,5,2019,Platinum,Digital
Sam Smith,Pray,Single,August,7,2018,Gold,Digital
Sam Smith,Money On My Mind,Single,August,5,2019,Platinum,Digital
Sam Smith,Money On My Mind,Single,May,20,2015,Gold,Digital
Sam Smith,Life Support,Single,August,5,2019,Gold,Digital
Meghan Trainor ,No Excuses ,Single,May,6,2019,Platinum,Digital
Meghan Trainor ,No Excuses ,Single,May,6,2019,Gold,Digital
Meghan Trainor ,Me Too,Single,October,24,2018,3x Platinum,Digital
Meghan Trainor ,Me Too,Single,January,11,2017,2x Platinum,Digital
Meghan Trainor ,Me Too,Single,September,6,2016,Platinum,Digital
Meghan Trainor ,Me Too,Single,July,20,2016,Gold,Digital
Meghan Trainor ,Thank You ,Album,February,13,2018,Platinum,Standard
Meghan Trainor ,Thank You ,Album,September,6,2016,Gold,Standard
Meghan Trainor ,All About That Bass,Single,January,23,2018,Diamond,Digital
Meghan Trainor ,All About That Bass,Single,August,14,2015,9x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,August,14,2015,8x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,August,14,2015,7x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,January,7,2015,6x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,December,8,2014,5x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,October,30,2014,4x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,October,30,2014,3x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,September,19,2014,2x Platinum,Digital
Meghan Trainor ,All About That Bass,Single,August,22,2014,Platinum,Digital
Meghan Trainor ,All About That Bass,Single,August,11,2014,Gold,Digital
Meghan Trainor ,Better When I’m Dancin’,Single,October,19,2017,Platinum,Digital
Meghan Trainor ,Better When I’m Dancin’,Single,January,25,2017,Gold,Digital
Meghan Trainor ,Like I’m Gonna Lose You (feat. John Legend),Single,June,19,2017,4x Platinum,Digital
Meghan Trainor ,Like I’m Gonna Lose You (feat. John Legend),Single,December,12,2016,3x Platinum,Digital
Meghan Trainor ,Like I’m Gonna Lose You (feat. John Legend),Single,January,8,2016,2x Platinum,Digital
Meghan Trainor ,Like I’m Gonna Lose You (feat. John Legend),Single,October,26,2015,Platinum,Digital
Meghan Trainor ,Like I’m Gonna Lose You (feat. John Legend),Single,August,18,2015,Gold,Digital
Meghan Trainor ,Dear Future Husband,Single,May,26,2017,3x Platinum,Digital
Meghan Trainor ,Dear Future Husband,Single,August,19,2015,2x Platinum,Digital
Meghan Trainor ,Dear Future Husband,Single,May,11,2015,Platinum,Digital
Meghan Trainor ,Dear Future Husband,Single,January,7,2015,Gold,Digital
Meghan Trainor ,NO,Single,December,12,2016,2x Platinum,Digital
Meghan Trainor ,NO,Single,May,3,2016,Platinum,Digital
Meghan Trainor ,NO,Single,March,29,2016,Gold,Digital
Meghan Trainor ,Title,Album,September,6,2016,3x Platinum,Standard
Meghan Trainor ,Title,Album,May,27,2016,2x Platinum,Standard
Meghan Trainor ,Title,Album,December,3,2015,Platinum,Standard
Meghan Trainor ,Title,Album,March,24,2015,Gold,Standard
Meghan Trainor ,Lips Are Movin,Single,December,11,2015,4x Platinum,Digital
Meghan Trainor ,Lips Are Movin,Single,December,11,2015,3x Platinum,Digital
Meghan Trainor ,Lips Are Movin,Single,January,21,2015,2x Platinum,Digital
Meghan Trainor ,Lips Are Movin,Single,January,7,2015,Platinum,Digital
Meghan Trainor ,Lips Are Movin,Single,December,10,2014,Gold,Digital
Meghan Trainor ,Title,Single,August,21,2015,Gold,Digital
Alessia Cara,How Far I’ll Go,Single,November,22,2023,3x Platinum,Digital
Alessia Cara,How Far I’ll Go,Single,August,24,2022,2x Platinum,Digital
Alessia Cara,How Far I’ll Go,Single,June,20,2017,Platinum,Digital
Alessia Cara,How Far I’ll Go,Single,March,22,2017,Gold,Digital
Alessia Cara,Here,Single,February,15,2023,5x Platinum,Digital
Alessia Cara,Here,Single,October,2,2020,4x Platinum,Digital
Alessia Cara,Here,Single,December,9,2016,3x Platinum,Digital
Alessia Cara,Here,Single,January,7,2016,2x Platinum,Digital
Alessia Cara,Here,Single,January,7,2016,Platinum,Digital
Alessia Cara,Here,Single,October,7,2015,Gold,Digital
Alessia Cara,Scars To Your Beautiful,Single,May,20,2022,5x Platinum,Digital
Alessia Cara,Scars To Your Beautiful,Single,October,2,2020,4x Platinum,Digital
Alessia Cara,Scars To Your Beautiful,Single,June,27,2017,2x Platinum,Digital
Alessia Cara,Scars To Your Beautiful,Single,January,20,2017,Platinum,Digital
Alessia Cara,Scars To Your Beautiful,Single,December,8,2016,Gold,Digital
Alessia Cara,Growing Pains,Single,November,19,2021,Gold,Digital
Alessia Cara,River Of Tears,Single,October,2,2020,Gold,Digital
Alessia Cara,I'm Yours ,Single,October,2,2020,Gold,Digital
Alessia Cara,Seventeen,Single,October,2,2020,Gold,Digital
Alessia Cara,Out Of Love,Single,November,4,2019,Gold,Digital
Alessia Cara,Wild Things,Single,April,19,2019,2x Platinum,Digital
Alessia Cara,Wild Things,Single,August,19,2016,Platinum,Digital
Alessia Cara,Wild Things,Single,May,4,2016,Gold,Digital
Alessia Cara,Know-It-All,Album,May,22,2017,Platinum,Standard
Alessia Cara,Know-It-All,Album,May,3,2016,Gold,Standard
Dua Lipa,Levitating,Single,November,6,2023,Diamond,Digital
Dua Lipa,Levitating,Single,September,7,2021,4x Platinum,Digital
Dua Lipa,Levitating,Single,May,20,2021,2x Platinum,Digital
Dua Lipa,Levitating,Single,March,10,2021,Platinum,Digital
Dua Lipa,Levitating,Single,February,9,2021,Gold,Digital
Dua Lipa,Sweetest Pie ,Single,September,1,2023,Platinum,Digital
Dua Lipa,Sweetest Pie ,Single,September,28,2022,Gold,Digital
Dua Lipa,One Kiss ,Single,September,23,2022,4x Platinum,Digital
Dua Lipa,One Kiss ,Single,October,26,2020,3x Platinum,Digital
Dua Lipa,One Kiss ,Single,March,25,2019,2x Platinum,Digital
Dua Lipa,One Kiss ,Single,August,15,2018,Platinum,Digital
Dua Lipa,One Kiss ,Single,June,28,2018,Gold,Digital
Dua Lipa,Cold Heart (PNAU Remix),Single,May,24,2022,2x Platinum,Digital
Dua Lipa,Cold Heart (PNAU Remix),Single,January,27,2022,Platinum,Digital
Dua Lipa,Cold Heart (PNAU Remix),Single,January,27,2022,Gold,Digital
Dua Lipa,We’re Good,Single,June,15,2021,Gold,Digital
Dua Lipa,Physical,Single,May,26,2021,Platinum,Digital
Dua Lipa,Physical,Single,July,9,2020,Gold,Digital
Dua Lipa,Un Dia (One Day),Single,March,12,2021,15x Platinum,Latin
Dua Lipa,Un Dia (One Day),Single,September,24,2020,4x Platinum,Latin
Dua Lipa,Un Dia (One Day),Single,August,3,2020,Platinum,Latin
Dua Lipa,Un Dia (One Day),Single,August,3,2020,Gold,Latin
Dua Lipa,Don't Start Now ,Single,March,10,2021,4x Platinum,Digital
Dua Lipa,Don't Start Now ,Single,August,19,2020,3x Platinum,Digital
Dua Lipa,Don't Start Now ,Single,June,30,2020,2x Platinum,Digital
Dua Lipa,Don't Start Now ,Single,March,26,2020,Platinum,Digital
Dua Lipa,Don't Start Now ,Single,January,29,2020,Gold,Digital
Dua Lipa,Future Nostalgia,Album,March,10,2021,Platinum,Standard
Dua Lipa,Future Nostalgia,Album,December,15,2020,Gold,Standard
Dua Lipa,Sacred to Be Lonely,Single,December,10,2020,2x Platinum,Digital
Dua Lipa,Sacred to Be Lonely,Single,February,22,2018,Platinum,Digital
Dua Lipa,Sacred to Be Lonely,Single,February,22,2018,Gold,Digital
Dua Lipa,Break My Heart,Single,October,9,2020,Platinum,Digital
Dua Lipa,Break My Heart,Single,August,19,2020,Gold,Digital
Dua Lipa,Be The One,Single,August,17,2020,Gold,Digital
"Silk City, Dua Lipa","Electricity (feat. Diplo, Mark Ronson)",Single,February,12,2020,Platinum,Digital
"Silk City, Dua Lipa","Electricity (feat. Diplo, Mark Ronson)",Single,February,12,2020,Gold,Digital
Dua Lipa,New Rules,Single,October,16,2019,5x Platinum,Digital
Dua Lipa,New Rules,Single,May,31,2019,4x Platinum,Digital
Dua Lipa,New Rules,Single,July,27,2018,3x Platinum,Digital
Dua Lipa,New Rules,Single,March,28,2018,2x Platinum,Digital
Dua Lipa,New Rules,Single,March,28,2018,Platinum,Digital
Dua Lipa,New Rules,Single,November,29,2017,Gold,Digital
Dua Lipa,Dua Lipa,Album,June,28,2019,Platinum,Standard
Dua Lipa,Dua Lipa,Album,June,6,2018,Gold,Standard
Dua Lipa,IDGAF,Single,May,31,2019,2x Platinum,Digital
Dua Lipa,IDGAF,Single,June,29,2018,Platinum,Digital
Dua Lipa,IDGAF,Single,June,6,2018,Gold,Digital
Dua Lipa,Blow Your Mind (Mwah),Single,June,6,2018,Gold,Digital
Billie Eilish,What Was I Made For? [From The Motion Picture “Barbie”],Single ,February,9,2024,Platinum,Digital
Billie Eilish,What Was I Made For? [From The Motion Picture “Barbie”],Single ,February,9,2024,Gold,Digital
Billie Eilish,bad guy,Single,July,31,2023,Diamond,Digital
Billie Eilish,bad guy,Single,April,2,2020,6x Platinum,Digital
Billie Eilish,bad guy,Single,September,27,2019,Platinum,Digital
Billie Eilish,bad guy,Single,September,27,2019,Gold,Digital
Billie Eilish,No Time To Die,Single,October,8,2021,Platinum,Digital
Billie Eilish,No Time To Die,Single,June,8,2020,Gold,Digital
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Album,June,1,2021,4x Platinum,Standard
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Album,April,2,2020,3x Platinum,Standard
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Album,September,17,2019,2x Platinum,Standard
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Album,September,17,2019,Platinum,Standard
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Album,September,17,2019,Gold,Standard
Billie Eilish,everything i wanted ,Single,December,11,2020,3x Platinum,Digital
Billie Eilish,everything i wanted ,Single,June,8,2020,2x Platinum,Digital
Billie Eilish,everything i wanted ,Single,June,8,2020,Platinum,Digital
Billie Eilish,everything i wanted ,Single,June,8,2020,Gold,Digital
Billie Eilish,my strange addiction,Single,April,2,2020,Platinum,Digital
Billie Eilish,my strange addiction,Single,April,2,2020,Gold,Digital
Billie Eilish,party favor,Single,April,2,2020,Gold,Digital
Billie Eilish,8,Single,April,2,2020,Gold,Digital
Billie Eilish,xanny,Single,April,2,2020,Platinum,Digital
Billie Eilish,xanny,Single,April,2,2020,Gold,Digital
Billie Eilish,ilomilo,Single,April,2,2020,Gold,Digital
Billie Eilish,idontwannabeyouanymore,Single,April,2,2020,2x Platinum,Digital
Billie Eilish,idontwannabeyouanymore,Single,September,27,2019,Platinum,Digital
Billie Eilish,idontwannabeyouanymore,Single,September,28,2018,Gold,Digital
Billie Eilish,ocean eyes,Single,April,2,2020,3x Platinum,Digital
Billie Eilish,ocean eyes,Single,September,11,2018,Platinum,Digital
Billie Eilish,ocean eyes,Single,January,25,2018,Gold,Digital
Billie Eilish,all good girls go to hell,Single,April,2,2020,Platinum,Digital
Billie Eilish,all good girls go to hell,Single,April,2,2020,Gold,Digital
Billie Eilish,i love you ,Single,April,2,2020,Platinum,Digital
Billie Eilish,i love you ,Single,April,2,2020,Gold,Digital
Billie Eilish,&burn (with Vince Staples),Single,April,2,2020,Gold,Digital
Billie Eilish,when the party’s over,Single,April,2,2020,4x Platinum,Digital
Billie Eilish,when the party’s over,Single,September,17,2019,3x Platinum,Digital
Billie Eilish,when the party’s over,Single,September,17,2019,2x Platinum,Digital
Billie Eilish,when the party’s over,Single,September,17,2019,Platinum,Digital
Billie Eilish,when the party’s over,Single,December,11,2018,Gold,Digital
Billie Eilish,bury a friend,Single,April,2,2020,3x Platinum,Digital
Billie Eilish,bury a friend,Single,September,27,2019,Platinum,Digital
Billie Eilish,bury a friend,Single,September,27,2019,Gold,Digital
Billie Eilish,you should see me in a crown,Single,April,2,2020,2x Platinum,Digital
Billie Eilish,you should see me in a crown,Single,September,27,2019,Platinum,Digital
Billie Eilish,you should see me in a crown,Single,September,27,2019,Gold,Digital
Billie Eilish,bellyache,Single,December,20,2019,2x Platinum,Digital
Billie Eilish,bellyache,Single,September,27,2019,Platinum,Digital
Billie Eilish,bellyache,Single,August,3,2018,Gold,Digital
Billie Eilish,hostage,Single,December,12,2019,Platinum,Digital
Billie Eilish,hostage,Single,September,27,2019,Gold,Digital
Billie Eilish,bitches broken hearts,Single,December,12,2019,Platinum,Digital
Billie Eilish,bitches broken hearts,Single,September,27,2019,Gold,Digital
Billie Eilish,watch,Single,December,12,2019,Platinum,Digital
Billie Eilish,watch,Single,September,27,2019,Gold,Digital
Billie Eilish,my boy,Single,December,9,2019,Platinum,Digital
Billie Eilish,my boy,Single,December,5,2018,Gold,Digital
Billie Eilish,Six Feet Under,Single,September,27,2019,Gold,Digital
Billie Eilish,lovely (feat. Khalid),Single,September,27,2019,2x Platinum,Digital
Billie Eilish,lovely (feat. Khalid),Single,October,12,2018,Platinum,Digital
Billie Eilish,lovely (feat. Khalid),Single,July,13,2018,Gold,Digital
Billie Eilish,COPYCAT,Single,September,27,2019,Platinum,Digital
Billie Eilish,COPYCAT,Single,December,5,2018,Gold,Digital
Megan Thee Stallion ,Cash Shit (feat. DaBaby,Single,September,1,2023,4x Platinum,Digital
Megan Thee Stallion ,Cash Shit (feat. DaBaby,Single,April,26,2022,3x Platinum,Digital
Megan Thee Stallion ,Cash Shit (feat. DaBaby,Single,November,13,2020,2x Platinum,Digital
Megan Thee Stallion ,Cash Shit (feat. DaBaby,Single,October,22,2019,Platinum,Digital
Megan Thee Stallion ,Cash Shit (feat. DaBaby,Single,September,3,2019,Gold,Digital
Megan Thee Stallion ,Something for Thee Hotties,Album,September,1,2023,Gold,Standard
Megan Thee Stallion ,Traumazine,Album,September,1,2023,Gold,Standard
Megan Thee Stallion ,Sex Talk,Single,September,1,2023,Platinum,Digital
Megan Thee Stallion ,Sex Talk,Single,November,13,2020,Gold,Digital
Megan Thee Stallion ,Sweetest Pie ,Single,September,1,2023,Platinum,Digital
Megan Thee Stallion ,Sweetest Pie ,Single,September,28,2022,Gold,Digital
Megan Thee Stallion ,Thot Shit,Single,November,30,2022,2x Platinum,Digital
Megan Thee Stallion ,Thot Shit,Single,November,24,2021,Platinum,Digital
Megan Thee Stallion ,Thot Shit,Single,September,21,2021,Gold,Digital
Megan Thee Stallion ,Megan’s Piano,Single,November,29,2022,Gold,Digital
Megan Thee Stallion ,Plan B,Single,November,29,2022,Gold,Digital
Megan Thee Stallion ,Don't Stop (feat. Young Thug),Single,November,29,2022,Platinum,Digital
Megan Thee Stallion ,Don't Stop (feat. Young Thug),Single,May,4,2021,Gold,Digital
Megan Thee Stallion ,Big Ole Freak,Single,April,26,2022,2x Platinum,Digital
Megan Thee Stallion ,Big Ole Freak,Single,June,3,2020,Platinum,Digital
Megan Thee Stallion ,Big Ole Freak,Single,July,30,2019,Gold,Digital
Megan Thee Stallion ,Captain Hook,Single,April,26,2022,2x Platinum,Digital
Megan Thee Stallion ,Captain Hook,Single,November,13,2020,Platinum,Digital
Megan Thee Stallion ,Captain Hook,Single,November,13,2020,Gold,Digital
Megan Thee Stallion ,Girls in the Hood,Single,April,26,2022,2x Platinum,Digital
Megan Thee Stallion ,Girls in the Hood,Single,May,4,2021,Platinum,Digital
Megan Thee Stallion ,Girls in the Hood,Single,November,13,2020,Gold,Digital
Megan Thee Stallion ,Cry Baby (feat. DaBaby),Single,July,14,2021,Platinum,Digital
Megan Thee Stallion ,Cry Baby (feat. DaBaby),Single,May,4,2021,Gold,Digital
Megan Thee Stallion ,Good News,Album,July,14,2021,Platinum,Standard
Megan Thee Stallion ,Good News,Album,January,28,2021,Gold,Standard
Megan Thee Stallion ,Body,Single,May,27,2021,Platinum,Digital
Megan Thee Stallion ,Body,Single,March,3,2021,Gold,Digital
Megan Thee Stallion ,Freak Nasty,Single,May,4,2021,Gold,Digital
Megan Thee Stallion ,Suga,Album,May,4,2021,Gold,Standard
Megan Thee Stallion ,B.I.T.C.H.,Single,May,4,2021,Platinum,Digital
Megan Thee Stallion ,B.I.T.C.H.,Single,May,7,2020,Gold,Digital
Megan Thee Stallion ,"Hot Girl Summer (feat. Nicki Minaj, Ty Dolla $ign)",Single,May,4,2021,2x Platinum,Digital
Megan Thee Stallion ,"Hot Girl Summer (feat. Nicki Minaj, Ty Dolla $ign)",Single,December,16,2019,Platinum,Digital
Megan Thee Stallion ,"Hot Girl Summer (feat. Nicki Minaj, Ty Dolla $ign)",Single,December,12,2019,Gold,Digital
Megan Thee Stallion ,Savage,Single,May,4,2021,4x Platinum,Digital
Megan Thee Stallion ,Savage,Single,June,15,2020,Platinum,Digital
Megan Thee Stallion ,Savage,Single,June,15,2020,Gold,Digital
Megan Thee Stallion ,Fever,Album ,November,13,2020,Gold,Standard
Megan Thee Stallion ,Realer,Single,November,13,2020,Gold,Digital
Olivia Rodrigo,favorite crime,Single,November,22,2023,3x Platinum,Digital
Olivia Rodrigo,favorite crime,Single,June,30,2023,2x Platinum,Digital
Olivia Rodrigo,favorite crime,Single,November,17,2021,Platinum,Digital
Olivia Rodrigo,favorite crime,Single,November,17,2021,Gold,Digital
Olivia Rodrigo,good for you ,Single,November,22,2023,7x Platinum,Digital
Olivia Rodrigo,good for you ,Single,June,30,2023,6x Platinum,Digital
Olivia Rodrigo,good for you ,Single,June,30,2023,5x Platinum,Digital
Olivia Rodrigo,good for you ,Single,March,7,2022,4x Platinum,Digital
Olivia Rodrigo,good for you ,Single,November,17,2021,3x Platinum,Digital
Olivia Rodrigo,good for you ,Single,June,23,2021,Platinum,Digital
Olivia Rodrigo,good for you ,Single,May,30,2021,Gold,Digital
